Date,Consumption (kWh),Surplus Generation (kWh)
2026-05-01,27.3,18.9
2026-05-02,26.2,20.6
2026-05-03,25.5,19.7
2026-05-04,27.0,22.7
2026-05-05,24.8,21.0
2026-05-06,22.4,21.2
2026-05-07,25.9,23.0
2026-05-08,26.9,18.7
2026-05-09,24.3,21.0
2026-05-10,22.1,19.8
2026-05-11,23.0,17.7
2026-05-12,22.4,21.6
2026-05-13,22.8,18.5
2026-05-14,24.3,22.2
2026-05-15,22.5,19.7
2026-05-16,25.3,22.3
2026-05-17,26.9,22.2
2026-05-18,23.7,19.5
2026-05-19,24.2,22.3
2026-05-20,27.7,17.9
2026-05-21,23.1,18.4
2026-05-22,23.4,19.9
2026-05-23,25.5,18.6
2026-05-24,22.0,19.5
2026-05-25,24.2,20.4
2026-05-26,27.7,21.1
2026-05-27,25.1,20.7
2026-05-28,26.1,17.3
2026-05-29,27.4,21.7
2026-05-30,27.2,21.8
