Date,Production (kWh),Exported (kWh),Self-Consumption (kWh)
2026-05-01,30.3,17.9,12.4
2026-05-02,32.9,17.4,15.5
2026-05-03,32.0,19.2,12.8
2026-05-04,28.1,20.0,8.1
2026-05-05,28.0,19.6,8.4
2026-05-06,28.2,17.5,10.7
2026-05-07,31.1,22.0,9.1
2026-05-08,28.7,18.3,10.4
2026-05-09,32.7,22.7,10.0
2026-05-10,32.3,19.4,12.9
2026-05-11,35.5,17.3,18.2
2026-05-12,34.5,18.7,15.8
2026-05-13,28.8,17.7,11.1
2026-05-14,30.1,21.9,8.2
2026-05-15,29.1,20.5,8.6
2026-05-16,32.8,19.2,13.6
2026-05-17,32.0,17.4,14.6
2026-05-18,28.1,18.2,9.9
2026-05-19,33.1,19.6,13.5
2026-05-20,30.2,20.5,9.7
2026-05-21,31.3,18.8,12.5
2026-05-22,34.0,21.2,12.8
2026-05-23,29.6,20.4,9.2
2026-05-24,31.9,22.3,9.6
2026-05-25,33.5,18.7,14.8
2026-05-26,35.5,17.7,17.8
2026-05-27,31.0,21.5,9.5
2026-05-28,28.9,19.9,9.0
2026-05-29,28.0,21.0,7.0
2026-05-30,33.8,20.4,13.4
